,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,machine,str_protocol,timestamp
0,6,395399,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,581.6908995723307,25.290908677057857,43933.22222222222,130296.1851866525,391386.0,66.0,394604.0,131534.66666666666,225038.44287661905,391386.0,1095.0,395399.0,79079.8,174730.36517217034,391644.0,66.0,0,0,0,0,80,144,10.116363470823144,15.174545206234715,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,iti-732,Mqtt,1631524852
1,6,98,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,10204.081632653062,10204.081632653062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1.0,8212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,iti-732,Mqtt,1631524854
2,6,817963,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,281.18631282833087,12.225491862101341,90884.77777777778,270575.20160335174,812414.0,61.0,817556.0,272518.6666666666,467563.0740684441,812414.0,2567.0,817963.0,163592.59999999998,362862.97606575955,812698.0,61.0,0,0,0,0,80,144,4.890196744840537,7.335295117260805,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524864
3,6,395399,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,581.6908995723307,25.290908677057857,43933.22222222222,130296.1851866525,391386.0,66.0,394604.0,131534.66666666666,225038.44287661905,391386.0,1095.0,395399.0,79079.8,174730.36517217034,391644.0,66.0,0,0,0,0,80,144,10.116363470823144,15.174545206234715,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,iti-732,Mqtt,1631524852
4,6,98,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,10204.081632653062,10204.081632653062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1.0,8212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,iti-732,Mqtt,1631524854
5,6,817963,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,281.18631282833087,12.225491862101341,90884.77777777778,270575.20160335174,812414.0,61.0,817556.0,272518.6666666666,467563.0740684441,812414.0,2567.0,817963.0,163592.59999999998,362862.97606575955,812698.0,61.0,0,0,0,0,80,144,4.890196744840537,7.335295117260805,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524864
6,6,246324,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,933.7295594420358,40.59693736704503,27369.333333333332,81056.43434206813,243516.0,44.0,245993.0,81997.66666666666,139879.81201135973,243516.0,756.0,246324.0,49264.8,108706.31124134421,243721.0,44.0,0,0,0,0,80,144,16.238774946818012,24.358162420227018,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524873
7,6,46,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43478.260869565216,46.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,21739.130434782608,21739.130434782608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1.0,8212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524874
8,6,40057,4,6,222.0,8.0,198.0,0.0,55.50000000000001,95.51788663212074,4.0,0.0,1.3333333333333335,2.065591117977289,5741.817909478992,249.64425693386923,4450.777777777777,11629.29390351987,35424.0,0.0,38375.0,12791.666666666668,19604.858998047737,35424.0,1047.0,40057.0,8011.4,15655.707387403483,35965.0,0.0,0,0,0,0,80,144,99.85770277354769,149.78655416032154,0.0,198.0,20.90909090909091,59.088839124583494,3491.4909090909086,0,1,0,0,0,0,0,0,1.0,23.0,55.5,1.3333333333333333,0,0,0,0,0,0,4,222,6,8,-1.0,237,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524880
9,6,96,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20833.333333333332,96.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,10416.666666666666,10416.666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1.0,8212,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iti-732,Mqtt,1631524881
